x,y,z
-0.166,-0.063,10.007
-0.139,-0.08,10.014
-0.161,-0.085,9.951
-0.161,-0.061,9.995
-0.182,-0.042,9.999
-0.173,-0.054,9.985
-0.17,-0.08,9.985
-0.194,-0.068,10.021
-0.158,-0.08,9.959
-0.163,-0.078,9.947
-0.168,-0.068,9.98
-0.149,-0.061,10.002
-0.168,-0.037,9.978
-0.151,-0.044,9.99
-0.154,-0.075,9.961
-0.168,-0.092,9.961
-0.158,-0.07,9.987
-0.218,-0.078,9.983
-0.156,-0.042,9.978
-0.161,-0.066,9.971
-0.163,-0.068,9.999
-0.175,-0.092,9.942
-0.197,-0.018,9.987
-0.182,-0.061,10.014
-0.185,-0.066,9.995
-0.134,-0.106,9.992
-0.19,-0.049,9.997
-0.199,-0.099,9.983
-0.139,-0.07,9.975
-0.154,-0.09,9.963
-0.166,-0.042,10.007
-0.185,-0.056,9.966
-0.158,-0.056,9.951
-0.149,-0.061,9.985
-0.166,-0.044,10.002
-0.149,-0.078,9.983
-0.161,-0.068,9.99
-0.192,-0.058,9.99
-0.19,-0.061,10.035
-0.156,-0.061,9.975
-0.19,-0.051,10.069
-0.163,-0.094,10.035
-0.13,-0.099,9.966
-0.187,-0.035,10.026
-0.199,-0.056,10.018
-0.12,-0.109,9.971
-0.161,-0.106,9.956
-0.175,-0.097,9.99
-0.13,-0.078,10.059
-0.149,-0.073,9.961
-0.185,-0.097,10.026
-0.146,-0.097,9.999
-0.156,-0.049,9.992
-0.163,-0.097,10.014
-0.19,-0.082,9.997
-0.166,-0.09,9.985
-0.161,-0.109,9.959
-0.149,-0.092,9.966
-0.158,-0.099,9.973
-0.154,-0.07,9.954
-0.17,-0.078,9.978
-0.19,-0.09,10.018
-0.156,-0.116,10.002
-0.132,-0.087,9.966
-0.175,-0.061,9.985
-0.18,-0.092,9.995
-0.146,-0.039,9.971
-0.134,-0.068,9.997
-0.168,-0.061,10.002
-0.149,-0.058,9.987
-0.158,-0.037,9.968
-0.192,-0.073,9.968
-0.19,-0.073,9.98
-0.194,-0.07,9.956
-0.163,-0.085,9.995
-0.173,-0.054,10.014
-0.149,-0.094,9.956
-0.156,-0.08,9.997
-0.142,-0.037,10.009
-0.146,-0.094,9.961
-0.178,-0.082,9.975
-0.178,-0.085,10.033
-0.182,-0.08,9.98
-0.154,-0.044,10.004
-0.125,-0.102,10.009
-0.175,-0.061,10.011
-0.166,-0.092,9.959
-0.206,-0.085,9.949
-0.163,-0.102,10.038
-0.123,-0.044,9.963
-0.156,-0.066,9.995
-0.166,-0.085,10.002
-0.139,-0.049,9.995
-0.161,-0.023,9.992
